P,P_dot,S1400,DM,W,B_surf,tau_char,population_type,duty_cycle,activity_state
0.5084156421055269,9.59347005828083e-16,2.0690926820501616,250.8865596991134,0.02459661484047062,706719854359.1243,8396711.208349217,young,,
0.8081228968178131,6.051523491272041e-16,2.946713729122275,76.61578885435387,0.0739029794822978,707654130672.7513,21158200.373694245,young,,
2.000375504197273,4.755031975489059e-15,0.4052519739942592,253.38283138403355,0.18371650150303517,3120918754644.81,6665367.863432307,young,,
0.4190147895678453,2.9446154195882574e-15,0.5648273305652223,40.53694738643419,0.012836435596051129,1124032698922.293,2254586.007883393,young,,
1.619470080242038,5.362735083252199e-17,0.12519378205934908,11.917540883953865,0.1586799353456854,298215089356.07904,478467697.1566976,young,,
0.12144341426241123,3.458144098351183e-16,7.135787023504481,249.425346629163,0.008076922987015582,207376005879.83643,5564125.534007718,young,,
4.89005155103546,1.712876030769967e-17,1.1163491207257412,221.73392580223188,0.47817767445802445,292866477104.87616,4523280733.127095,young,,
1.231619510281828,9.668618984874428e-14,0.12755685070294293,54.334452486639584,0.08464790531258333,11042578147314.465,201826.48243940895,young,,
1.1022362149498908,2.1869671108115347e-17,0.7490160603680132,77.28210119699824,0.07204729749442995,157111669039.93427,798543283.9493896,young,,
1.861004294329187,2.1097783805754835e-16,0.28633218002134697,199.94090887070263,0.0525318530288975,634077123492.55,139757967.101982,young,,
0.32490929646616207,4.686499181213889e-15,15.613682270335623,830.9801770006816,0.012871351902506729,1248691973026.9863,1098448.32143418,young,,
1.5544775003959368,1.6806141943034575e-15,4.406744596187851,86.0582147760899,0.12065634626301946,1635596649157.7769,14654886.203045003,young,,
0.3860974439308379,1.6217948802132833e-15,4.625044608720231,81.7403843061141,0.02607467662962456,800748998387.3845,3771959.653258838,young,,
0.22931870109849112,7.657493973094876e-16,4.284190818907222,107.90488732067752,0.021411362376367156,424046074064.7828,4744810.223383776,young,,
1.9292538786469806,7.490467530057178e-14,0.3318756593698533,189.8677509453352,0.03218454259115796,12164636394108.904,408081.1116048907,young,,
1.162689152045974,1.3997966457592697e-14,5.421652517402572,223.17954251061337,0.022453785590270118,4082387850384.766,1316026.7265273842,young,,
0.5189862237334294,1.519566005105239e-16,0.22486669715916363,23.40206372590539,0.01695541847507421,284176183809.9983,54113085.501663424,young,,
0.4586062079786998,3.3257587604591934e-16,0.4413038182157623,76.50362374028725,0.02914780443358463,395198524860.22754,21848177.87036567,young,,
